"longitude","latitude","ind_land","trendMax"
160,-90,1,2.4173509550409
161.25,-90,1,2.50921046443228
162.5,-90,1,2.59790630431836
163.75,-90,1,2.53060153796902
165,-90,1,2.31774322099525
166.25,-90,1,2.5475947670579
167.5,-90,1,2.54935587259161
168.75,-90,1,2.36807342758744
170,-90,1,2.51885103619878
171.25,-90,1,2.54189285066242
172.5,-90,1,2.38316822551751
173.75,-90,1,2.76765668221074
175,-90,1,2.46220372917715
176.25,-90,1,2.21629360265886
177.5,-90,1,2.5655566806754
178.75,-90,1,2.51024363985573
180,-90,1,2.5246717827171
-178.75,-90,1,2.4859243146539
-177.5,-90,1,2.75030562426242
-176.25,-90,1,2.60864476838181
-175,-90,1,2.57026707129259
-173.75,-90,1,2.41969694605607
-172.5,-90,1,2.54756886640203
-171.25,-90,1,2.54813064988906
-170,-90,1,2.57509043396505
-168.75,-90,1,2.57955975726988
-167.5,-90,1,2.83718753170654
-166.25,-90,1,2.43056475695178
-165,-90,1,2.44191449387618
-163.75,-90,1,2.55657266446033
-162.5,-90,1,2.60497826111014
-161.25,-90,1,2.503438633649
-160,-90,1,2.72381408580154
-158.75,-90,1,2.54877912234969
-157.5,-90,1,2.52273510897945
-156.25,-90,1,2.17586214000799
-155,-90,1,2.40111790150992
-153.75,-90,1,2.58360385786126
-152.5,-90,1,2.32827816500591
-151.25,-90,1,2.55991633483228
-150,-90,1,2.38143401147013
-148.75,-90,1,2.53611457078977
-147.5,-90,1,2.48241112535858
-146.25,-90,1,2.54626230868697
-145,-90,1,2.5473024373066
-143.75,-90,1,2.55176967465261
-142.5,-90,1,2.5496448821917
-141.25,-90,1,2.55223300088147
-140,-90,1,2.59303680718909
-138.75,-90,1,2.39996841649689
-137.5,-90,1,2.56424120548625
-136.25,-90,1,2.5265785055624
-135,-90,1,2.52249362447523
-133.75,-90,1,2.57689174635578
-132.5,-90,1,2.60402299625023
-131.25,-90,1,2.42085135045533
-130,-90,1,2.36372199572408
-128.75,-90,1,2.59615980049656
-127.5,-90,1,2.60041300108061
-126.25,-90,1,2.59961548685943
-125,-90,1,2.60509869046844
-123.75,-90,1,2.50463369686302
-122.5,-90,1,2.54796415560596
-121.25,-90,1,2.38073766625366
-120,-90,1,2.46483342798023
-118.75,-90,1,2.44060204332726
-117.5,-90,1,2.39543952168367
-116.25,-90,1,2.36978514804528
-115,-90,1,2.5459489629002
-113.75,-90,1,2.59128837385543
-112.5,-90,1,2.51333496135462
-111.25,-90,1,2.48661693991058
-110,-90,1,2.43582888273142
-108.75,-90,1,2.60240855100731
-107.5,-90,1,2.40089661604076
-106.25,-90,1,2.5479631300096
-105,-90,1,2.70728769430553
-103.75,-90,1,2.41321736681453
-102.5,-90,1,2.40208974974281
-101.25,-90,1,2.57743056691245
-100,-90,1,2.52149531933078
-98.75,-90,1,2.60418481450875
-97.5,-90,1,2.60405946576433
-96.25,-90,1,2.51277418608119
-95,-90,1,2.52980682240919
-93.75,-90,1,2.52111756956405
-92.5,-90,1,2.5863959659447
-91.25,-90,1,2.39059549063533
-90,-90,1,2.5107944025269
-88.75,-90,1,2.5812626297856
-87.5,-90,1,2.54746397743733
-86.25,-90,1,2.33980609496588
-85,-90,1,2.462809682843
-83.75,-90,1,2.38705181157466
-82.5,-90,1,2.50119071746624
-81.25,-90,1,2.43752129068676
-80,-90,1,2.42010163945789
-78.75,-90,1,2.52718911786964
-77.5,-90,1,2.45777970594536
-76.25,-90,1,2.58136451149295
-75,-90,1,2.54112234960849
-73.75,-90,1,2.7829445182503
-72.5,-90,1,2.39088714244987
-71.25,-90,1,2.81120901744434
-70,-90,1,2.45756525199157
-68.75,-90,1,2.30914856638435
-67.5,-90,1,2.50049600625097
-66.25,-90,1,2.58908478429832
-65,-90,1,2.45435981116007
-63.75,-90,1,2.55634409551816
-62.5,-90,1,2.48102796080432
-61.25,-90,1,2.54573365717981
-60,-90,1,2.47022627480454
-58.75,-90,1,2.6409468843115
-57.5,-90,1,2.40913719651795
-56.25,-90,1,2.23355148777815
-55,-90,1,2.56781038539395
-53.75,-90,1,2.41490539425603
-52.5,-90,1,2.52826143978776
-51.25,-90,1,2.54857732321308
-50,-90,1,2.6126109931756
-48.75,-90,1,2.54832222782736
-47.5,-90,1,2.60216877003625
-46.25,-90,1,2.57608063863595
-45,-90,1,2.34204830952781
-43.75,-90,1,2.55121658266088
-42.5,-90,1,2.40016388822516
-41.25,-90,1,2.52477495076576
-40,-90,1,2.54881776473765
-38.75,-90,1,2.49177190050977
