"longitude","latitude","elevation","logElev","Xelevation","XlogElev","lcc_x","lcc_y"
-81.125,26.625,7.8,4.6802776584749,7.8,2.87919845729804,-93.5742737608866,-29.0099700194436
-80.875,26.625,2.7,4.63181211693451,2.7,2.54160199346455,-93.3247583675222,-28.9694174195704
-80.625,26.625,2.6,4.63083793273667,2.6,2.53369681395743,-93.0753554774745,-28.9281785626738
-80.375,26.625,3.5,4.63957161270542,3.5,2.60268968544438,-92.8260669781934,-28.8862537608442
-80.125,26.625,5,4.65396035015752,5,2.70805020110221,-92.576894756263,-28.8436433313633
-99.125,26.875,143.2,5.49388415009201,143.2,5.03174425730649,-111.701070500862,-29.8299447263068
-98.875,26.875,183.2,5.64615336181956,183.2,5.26372592177842,-111.449230787366,-29.839255378389
-98.625,26.875,143.7,5.49593796063116,143.7,5.03500265054455,-111.19736641345,-29.847873190623
-98.375,26.875,70.1,5.13638649940182,70.1,4.38327585407431,-110.945479285191,-29.8557980977903
-98.125,26.875,32.6,4.88733707775176,32.6,3.75185425327532,-110.69357130884,-29.8630300399161
-97.875,26.875,7.8,4.6802776584749,7.8,2.87919845729804,-110.441644390806,-29.8695689622701
-97.625,26.875,5,4.65396035015752,5,2.70805020110221,-110.189700437639,-29.8754148153665
-81.875,26.875,9.3,4.69409639518249,9.3,2.96010509591084,-94.3661306898903,-28.8480940057266
-81.625,26.875,13.2,4.72915616576908,13.2,3.14415227867226,-94.1170576169666,-28.8097203965617
-81.375,26.875,10.4,4.704110133843,10.4,3.01553490085017,-93.8680910513382,-28.7706617389404
-81.125,26.875,4.7,4.65109911787649,4.7,2.68784749378469,-93.6192328771528,-28.7309183284538
-80.875,26.875,2.3,4.62790967295758,2.3,2.50959926237837,-93.370484977738,-28.6904904658749
-80.625,26.875,5,4.65396035015752,5,2.70805020110221,-93.1218492355866,-28.6493784571568
-80.375,26.875,6.6,4.66908351173174,6.6,2.8094026953625,-92.873327532343,-28.60758261343
-80.125,26.875,4.8,4.65205377188694,4.8,2.69462718077007,-92.624921748788,-28.5651032510002
-99.375,27.125,136.6,5.46637095154429,136.6,4.98770778945255,-111.94128571638,-29.5377758999483
-99.125,27.125,125.5,5.41832015894273,125.5,4.90897164031976,-111.690248842901,-29.5477484834994
-98.875,27.125,239.6,5.82776845443719,239.6,5.51985963649527,-111.439185485007,-29.5570304332899
-98.625,27.125,144.6,5.49962422325307,144.6,5.04084113615332,-111.188097542715,-29.5656216790753
-98.375,27.125,101,5.30330490805908,101,4.70953020131233,-110.936986916226,-29.5735221558381
-98.125,27.125,31.6,4.87976701889122,31.6,3.72810016726722,-110.685855505914,-29.5807318037883
-97.875,27.125,15.8,4.7518645651389,15.8,3.25037449192757,-110.43470521231,-29.5872505683645
-97.625,27.125,4,4.64439089914137,4,2.63905732961526,-110.183537936089,-29.5930784002333
-82.375,27.125,2.6,4.63083793273667,2.6,2.53369681395743,-94.9056696040522,-28.6433852145303
-82.125,27.125,8.4,4.68582808900555,8.4,2.91235066461494,-94.6571576382012,-28.6064966377382
-81.875,27.125,12.8,4.72561633906396,12.8,3.1267605359604,-94.4087480922363,-28.5689245504616
-81.625,27.125,20,4.78749174278205,20,3.40119738166216,-94.1604428460896,-28.5306692370415
-81.375,27.125,41,4.94875989037817,41,3.93182563272433,-93.9122437789043,-28.4917309869891
-81.125,27.125,7.5,4.67749084756772,7.5,2.86220088092947,-93.6641527690196,-28.4521100949844
-80.875,27.125,3.6,4.64053732982538,3.6,2.61006979274201,-93.4161716939574,-28.4118068608732
-80.625,27.125,8.4,4.68582808900555,8.4,2.91235066461494,-93.1683024304073,-28.3708215896654
-80.375,27.125,7.6,4.67842064772768,7.6,2.86789890204411,-92.9205468542129,-28.3291545915324
-99.375,27.375,154.2,5.53812135875535,154.2,5.10108519701833,-111.92969770493,-29.2558518434051
-99.125,27.375,164.3,5.57708482161024,164.3,5.16077795252597,-111.679436441175,-29.2657936154158
-98.875,27.375,266.4,5.90372563279997,266.4,5.62184909189352,-111.429148774833,-29.275046887465
-98.625,27.375,160.7,5.56337032093946,160.7,5.13990762980039,-111.178836600048,-29.2836115895252
-98.375,27.375,101,5.30330490805908,101,4.70953020131233,-110.928501811153,-29.2914876567798
-98.125,27.375,48.9,5.00327493968996,48.9,4.07584109065754,-110.678146302649,-29.2986750296237
